"Story","Title","Result","Date","Stability","Duration (s)"
"Booking functionality","Admin should be able to generate a new auth token successfully by entering the","SUCCESS","2022-01-25T22:55:30.699Z[Europe/London]","0.0","7.47"
"Booking functionality","User should be able to perform CRUD operations successfully by entering valid details","SUCCESS","2022-01-25T22:55:39.980Z[Europe/London]","0.0","4.34"
